"Super Monitoring","Super Monitoring"
"Settings","Configuración"
"Monitor your shop's uptime with www.supermonitoring.com services - and have all the charts and tables displayed in your Magento panel.","Supervise el tiempo de actividad de su blog con los servicios de www.supermonitoring.es y haga que todos los gráficos y tablas aparezcan en su panel de Magento."
"If you already have a subscription at www.supermonitoring.com, enter your token to integrate the service with your Magento panel.","Si ya tiene una suscripción a www.supermonitoring.com, introduzca su token de integrar el servicio con el panel de Magento."
"If you don`t have an account at www.supermonitoring.com yet, <a href='https://www.supermonitoring.com/?utm_source=Magento2&utm_medium=text&utm_campaign=plugin' target='_blank'><strong>sign up here</strong></a> for a 14-day free trial.","Si usted no tiene una cuenta en www.supermonitoring.es todavía, <a href='https://www.supermonitoring.es/?utm_source=Magento2&utm_medium=text&utm_campaign=plugin' target='_blank'><strong>regístrese aquí</strong></a> para una prueba gratuita de 14 días."
"You can find the token in your Account Settings at <a href='https://www.supermonitoring.com' target='_blank'>www.supermonitoring.com</a>.","Usted puede encontrar el token de configuración de tu cuenta en <a href='https://www.supermonitoring.es' target='_blank'>www.supermonitoring.es</a>."
"Status","Estado"
"Authorization token","Token de autorización"
"Enable","Habilitado"
"Disable","Discapacitado"
"Changes have been saved.","Los cambios se han guardado."
"Invalid token. You can obtain your token in your Account Settings at <a href='https://www.supermonitoring.com' target='_blank'>www.supermonitoring.com</a>.","Token incorrecta. Usted puede obtener su ficha en configuración de tu cuenta en <a href='https://www.supermonitoring.es' target='_blank'>www.supermonitoring.es</a>."
"Your Checks","Su sitios web"
"Your Account","Su suenta"
"Your Contacts","Sus contactos"

